categoria_atual,artigos,nova_categoria
"News",4970,"News"
"Top",921,"Top"
"COVID-19",776,"COVID-19"
"Brasileiros",529,"Brasileiros"
"Destaque",88,"Destaque"
"Bem Estar",79,"Bem Estar"
"Clima e Tempo",65,"Clima e Tempo"
"Horoscopo",48,"Horoscopo"
"Política",47,"Política"
"#BrasileirosNosEUA",44,"#BrasileirosNosEUA"
"Economia",42,"Economia"
"Variedades",39,"Variedades"
"Esportes",37,"Esportes"
"Novelas",31,"Novelas"
"Saúde",31,"Saúde"
"Notícias",24,"Notícias"
"Educação",23,"Educação"
"Entretenimento",22,"Entretenimento"
"Negócios",22,"Negócios"
"Polícia",22,"Polícia"
"Espiritualidade",20,"Espiritualidade"
"Comportamento",19,"Comportamento"
"Imigração",19,"Imigração"
"Meio ambiente",18,"Meio ambiente"
"1 Minuto",17,"1 Minuto"
"Brasileiros nos EUA",17,"Brasileiros nos EUA"
"Turismo",17,"Turismo"
"Receitas",16,"Receitas"
"#BrasileirosNaFlórida",14,"#BrasileirosNaFlórida"
"Animais",14,"Animais"
"Internet",14,"Internet"
"Mundo",14,"Mundo"
"Editorial",13,"Editorial"
"Casa e Decoração",12,"Casa e Decoração"
"Moda",12,"Moda"
"Aventura",11,"Aventura"
"primary",11,"primary"
"#BemEstar",9,"#BemEstar"
"Tecnologia",8,"Tecnologia"
"Crônicas",7,"Crônicas"
"Educação e Cultura",7,"Educação e Cultura"
"Facebrasil Edições",7,"Facebrasil Edições"
"#marcoalevato",6,"#marcoalevato"
"adaptação cultural.",6,"adaptação cultural."
"#BrasileirosNaAmérica",5,"#BrasileirosNaAmérica"
"Atualidade",5,"Atualidade"
"Facebrasil",5,"Facebrasil"
"Multimidia",5,"Multimidia"
"bolsas de estudo",4,"bolsas de estudo"
"Brasil",4,"Brasil"
"Comunidade",4,"Comunidade"
"utilidades",4,"utilidades"
"#ArtesMarciais",3,"#ArtesMarciais"
"#ComunidadeBrasileira",3,"#ComunidadeBrasileira"
"#horoscopododia",3,"#horoscopododia"
"Cultura",3,"Cultura"
"Entrevista",3,"Entrevista"
"footer",3,"footer"
"Sexualidade",3,"Sexualidade"
"adaptação",2,"adaptação"
"autoconhecimento",2,"autoconhecimento"
"automação",2,"automação"
"Bilinguismo",2,"Bilinguismo"
"Boston",2,"Boston"
"brasileiros na América",2,"brasileiros na América"
"brasileiros na Flórida",2,"brasileiros na Flórida"
"brasileiros nos Estados Unidos",2,"brasileiros nos Estados Unidos"
"Capa",2,"Capa"
"Especial",2,"Especial"
"Estilo de Vida",2,"Estilo de Vida"
"Nutrição",2,"Nutrição"
"Sustentabilidade",2,"Sustentabilidade"
"Trabalho",2,"Trabalho"
"Viagem",2,"Viagem"
": #Investimentos2025",1,": #Investimentos2025"
"#5G",1,"#5G"
"#AdaptaçãoCultural",1,"#AdaptaçãoCultural"
"#AdolescentesImigrantes",1,"#AdolescentesImigrantes"
"#AdvocaciaResponsável",1,"#AdvocaciaResponsável"
"#AdvogadoDeImigração",1,"#AdvogadoDeImigração"
"#AlbertEinstein",1,"#AlbertEinstein"
"#Alerta",1,"#Alerta"
"#AlertaDeFraude #CartaoDeCredito",1,"#AlertaDeFraude #CartaoDeCredito"
"#AlimentaçãoEquilibrada",1,"#AlimentaçãoEquilibrada"
"#AlinhamentoCósmico",1,"#AlinhamentoCósmico"
"#AmericanDream",1,"#AmericanDream"
"#AniversárioHisSong",1,"#AniversárioHisSong"
"#AntiBullying",1,"#AntiBullying"
"#ApoieOSeuVizinho",1,"#ApoieOSeuVizinho"
"#ApoioAoImigrante",1,"#ApoioAoImigrante"
"#AposentadoriaNosEUA",1,"#AposentadoriaNosEUA"
"#Aprender",1,"#Aprender"
"#AprenderInglês",1,"#AprenderInglês"
"#ArtesCênicas",1,"#ArtesCênicas"
"#AutoDeportação",1,"#AutoDeportação"
"#BemEstarDigital",1,"#BemEstarDigital"
"#Bitcoin2025",1,"#Bitcoin2025"
"#BrasileirosEmOrlando",1,"#BrasileirosEmOrlando"
"#BrasileirosNoTatame",1,"#BrasileirosNoTatame"
"#BusinessMindset",1,"#BusinessMindset"
"#EconomiaCircular",1,"#EconomiaCircular"
"#FacebrasilNews",1,"#FacebrasilNews"
